Internal ID,Item Name,Display Name,UPC Code,Bin Number,Bin OnHand,Bin Available,Bin Location,Item Status,Average Cost,Average Cost Per Bin,Subsidiary
7345,APG806Z,APOTHECARY GLASS CANDLE 8 OZ. TOBACCO & PATCHOULI,647658387482,B50-A-044,73,73,MC-PW,WEB/AMAZON ,4.13425563,301.801,PW
7349,APG810Z,APOTHECARY GLASS CANDLE 8 OZ. ORANGE ZEST & BERGAMOT,647658005140,B50-A-034,307,307,MC-PW,WEB/AMAZON ,4.3784,1344.169,PW
7623,CARTONS : 50508,"MASTER CARTON 19 1/4 x 12 3/4 x 15 3/4 O.D  , 32ECT RSC KRAFT 2P1C (PW WEB ITEMS)",,B50-A-001,250,250,MC-PW,Custom Order Item,.86669528,216.674,PW
25711,CARTONS : 50941,CARTON OD#11.4375 x 11.4375 x 6.25 (FOUNDRY) FOR  USE WITH PN#50942,,B10-A-001,254,254,MC-PW,CUSTOM TARGET C2 SPRING 2019,.7438451,188.937,PW
26739,CARTONS : 50952D,CARTON OD# 7.125 X 7.125 X 3.125 FOR OPALHOUSE MINI GRAB TIN,,B10-A-014,68932,68932,MC-PW,CUSTOM TARGET C2 SPRING 2019,.39999972,27572.781,PW
25879,CARTONS : 50957,CARTON O.D.# 10.375 X 10.375 X 4.5 FOR PROJECT 62 3-WICK OMB,,B10-A-001,6300,6300,MC-PW,CUSTOM TARGET C3 SPRING 19,.6300001,3969.001,PW
25879,CARTONS : 50957,CARTON O.D.# 10.375 X 10.375 X 4.5 FOR PROJECT 62 3-WICK OMB,,B10-A-020,6300,6300,MC-PW,CUSTOM TARGET C3 SPRING 19,.6300001,3969.001,PW
28881,CARTONS : 51040,CARTON WABI SABI 12 OZ. 4 PACK  O.D. 12 3/8 X 11 7/8 X 4 3/8,,B10-A-034,264,264,MC-PW,CURRENT,.9169363,242.071,PW
30721,CARTONS : 51069,"TINSEL 1.7# BLACK PE INSERT 4.5"" X 4.5 X 4"" TOP",,B10-A-044,10000,10000,MC-PW,TINSEL FOAM INSERTS,.29499952,2949.995,PW
30723,CARTONS : 51070,,"TINSEL 1.7# BLACK PE INSERT 4.5"" X 4,5 X 4"" BOTTOM",B10-A-001,10000,10000,MC-PW,TINSEL FOAM INSERTS,.29355825,2935.583,PW
