Internal ID,Item Name,Display Name,UPC Code,Bin Number,Bin OnHand,Bin Available,Bin Location,Item Status,Average Cost,Average Cost Per Bin,Subsidiary,Item Type
13664,11187,HEIRLOOM GREEN GLASS HANG TAG MINT LEAF CARDAMOM (HE0602),,WIP-PW-MC,927,927,MC-PW,Custom Order Item,.07,64.89,PW,Inventory Item
13665,11188,HEIRLOOM BLUE GLASS HANG TAG MARINE AMBER (HE0603),,WIP-PW-MC,678,678,MC-PW,Custom Order Item,.07,47.46,PW,Inventory Item
13666,11189,HEIRLOOM PINK GLASS HANG TAG ROSEWOOD CEDAR (HE0604),,WIP-PW-MC,1005,1005,MC-PW,Custom Order Item,.07,70.35,PW,Inventory Item
13667,11190,HEIRLOOM YELLOW GLASS HANG TAG LAVENDER MAMOSA (HE0605),,WIP-PW-MC,1665,1665,MC-PW,Custom Order Item,.07,116.55,PW,Inventory Item
16854,11854,LIBRARY 16 OZ. LOUISA MAY ALCOTT COPPER HANGTAG (,,WIP-PW-MC,612.94,612.94,MC-PW,Current,.07199726,44.13,PW,Inventory Item
16855,11855,LIBRARY 16 OZ. WILLIAM SHAKESPEARE COPPER HANGTAG (GL1613),,WIP-PW-MC,1326.4,1326.4,MC-PW,Current,.14823583,196.62,PW,Inventory Item
16856,11856,LIBRARY 16 OZ. JANE AUSTEN COPPER HANGTAG (GL1602),,WIP-PW-MC,2218.8,2218.8,MC-PW,Current,.05848657,129.77,PW,Inventory Item
16857,11857,LIBRARY 16 OZ. CHARLES DICKENS RED TASSEL AND HANGTAG (GL16,,WIP-PW-MC,4745.48,4745.48,MC-PW,Current,.31480272,1493.89,PW,Inventory Item
16858,11858,LIBRARY 16 OZ. OSCAR WILDE COPPER HANGTAG (GL160,,WIP-PW-MC,2025.78,2025.78,MC-PW,Current,.07387278,149.65,PW,Inventory Item
16860,11860,LIBRARY 16 OZ. JOHN STEINBECK COPPER HANGTAG (GL16,,WIP-PW-MC,696.36,696.36,MC-PW,DISCONTINUED PW 12.15.2018,.08321845,57.95,PW,Inventory Item
16861,11861,LIBRARY 16 OZ. EDGAR ALLEN POE COPPER HANGTAG (GL1,,WIP-PW-MC,2285.81,2285.81,MC-PW,DISCONTINUED PW 12.15.2018,.05713948,130.61,PW,Inventory Item
16915,11881,LIBRARY 16 OZ. LEO TOLSTOY COPPER HANGTAG (GL160,,WIP-PW-MC,2367.84,2367.84,MC-PW,DISCONTINUED PW 12.15.2018,.07419843,175.69,PW,Inventory Item
16944,11882,LIBRARY COPPER HANGING TASSEL,,WIP-PW-MC,14064.21,14064.21,MC-PW,DISCONTINUED PW 12.15.2018,.09898032,1392.08,PW,Inventory Item
16954,11883,LIBRARY 16 OZ. RALPH WALDO EMERSON COPPER HANGTAG (GL1611),,WIP-PW-MC,2320.88,2320.88,MC-PW,DISCONTINUED PW 12.15.2018,.0742477,172.32,PW,Inventory Item
28639,12728,TINSEL 12 OZ. BLUSH MERCURY GLASS HANG TAG  &  GOLD TASSEL C,,WIP-PW-MC,2351,2351,MC-PW,CURRENT,.20477244,481.42,PW,Inventory Item
28641,12729,TINSEL 12 OZ. ICE BLUE MERCURY GLASS HANG TAG MERRY & GOLD T,,WIP-PW-MC,2306,2306,MC-PW,CURRENT,.21229835,489.56,PW,Inventory Item
28643,12730,TINSEL 12 OZ. GOLD MERCURY GLASS HANG TAG CHEERS & GOLD TASS,,WIP-PW-MC,2028.6,2028.6,MC-PW,CURRENT,.21174702,429.55,PW,Inventory Item
28644,12731,TINSEL 12 OZ. BRONZE MERCURY GLASS HANG TAG WARM WISHES  & G,,WIP-PW-MC,2983,2983,MC-PW,CURRENT,.21163258,631.30,PW,Inventory Item
28645,12732,TINSEL 12 OZ. SILVER MERCURY GLASS HANG TAG FALALA & GOLD TA,,WIP-PW-MC,1371.88,1371.88,MC-PW,CURRENT,.21178237,290.54,PW,Inventory Item
28646,12733,TNSEL 12 OZ. DEEP GREEN MERCURY GLASS HANG TAG JINGLE & GOLD,,WIP-PW-MC,2146.08,2146.08,MC-PW,CURRENT,.21190729,454.77,PW,Inventory Item
15991,16500,STANDARD MATCHBOX STYLE GREYBOARD WRAPPED IN 350 GSM BLACK,,A90-C2-179,118,118,MC-INK,Current,1.60305085,189.16,INK,Inventory Item
15637,25201,6.4 oz Copper Tube with Shave Cream Label Applied,,A20-B-114,3240,3240,MC-ONV,Current,.39323367,1274.077,ONV,Assembly/Bill of Materials
15637,25201,6.4 oz Copper Tube with Shave Cream Label Applied,,A20-D-160,3240,3240,MC-ONV,Current,.39323367,1274.077,ONV,Assembly/Bill of Materials
15637,25201,6.4 oz Copper Tube with Shave Cream Label Applied,,A20-D-163,3240,3240,MC-ONV,Current,.39323367,1274.077,ONV,Assembly/Bill of Materials
15637,25201,6.4 oz Copper Tube with Shave Cream Label Applied,,A30-D-059,3240,3240,MC-ONV,Current,.39323367,1274.077,ONV,Assembly/Bill of Materials
15637,25201,6.4 oz Copper Tube with Shave Cream Label Applied,,A50-C-012,2592,2592,MC-ONV,Current,.39323367,1019.262,ONV,Assembly/Bill of Materials
15637,25201,6.4 oz Copper Tube with Shave Cream Label Applied,,A50-C-014,2592,2592,MC-ONV,Current,.39323367,1019.262,ONV,Assembly/Bill of Materials
15637,25201,6.4 oz Copper Tube with Shave Cream Label Applied,,A50-C-038,2592,2592,MC-ONV,Current,.39323367,1019.262,ONV,Assembly/Bill of Materials
15637,25201,6.4 oz Copper Tube with Shave Cream Label Applied,,A50-D-035,3240,3240,MC-ONV,Current,.39323367,1274.077,ONV,Assembly/Bill of Materials
15637,25201,6.4 oz Copper Tube with Shave Cream Label Applied,,A60-A-069,2916,2916,MC-ONV,Current,.39323367,1146.669,ONV,Assembly/Bill of Materials
15637,25201,6.4 oz Copper Tube with Shave Cream Label Applied,,A60-A-071,3240,3240,MC-ONV,Current,.39323367,1274.077,ONV,Assembly/Bill of Materials
15637,25201,6.4 oz Copper Tube with Shave Cream Label Applied,,A60-D-059,3240,3240,MC-ONV,Current,.39323367,1274.077,ONV,Assembly/Bill of Materials
15637,25201,6.4 oz Copper Tube with Shave Cream Label Applied,,A60-D-075,3240,3240,MC-ONV,Current,.39323367,1274.077,ONV,Assembly/Bill of Materials
15637,25201,6.4 oz Copper Tube with Shave Cream Label Applied,,A80-D-121,3240,3240,MC-ONV,Current,.39323367,1274.077,ONV,Assembly/Bill of Materials
15637,25201,6.4 oz Copper Tube with Shave Cream Label Applied,,Novapac-Production,6480,6480,"Novapac Laboratories, Inc.-ONV",Current,.39323367,2548.154,ONV,Assembly/Bill of Materials
15637,25201,6.4 oz Copper Tube with Shave Cream Label Applied,,PRODUCTION-ONV,324,324,OM Fidelitone,Current,.39323367,127.408,ONV,Assembly/Bill of Materials
15459,25204,8.5 fl oz copper tube with Bourbon Cedar Wash label applied,,A20-A-131,2160,0,MC-ONV,Current,.46212384,.00,ONV,Assembly/Bill of Materials
15459,25204,8.5 fl oz copper tube with Bourbon Cedar Wash label applied,,A30-B-070,2160,0,MC-ONV,Current,.46212384,.00,ONV,Assembly/Bill of Materials
15459,25204,8.5 fl oz copper tube with Bourbon Cedar Wash label applied,,A80-B-078,800,800,MC-ONV,Current,.46212384,369.699,ONV,Assembly/Bill of Materials
15459,25204,8.5 fl oz copper tube with Bourbon Cedar Wash label applied,,A80-B-099,2160,2160,MC-ONV,Current,.46212384,998.187,ONV,Assembly/Bill of Materials
15459,25204,8.5 fl oz copper tube with Bourbon Cedar Wash label applied,,A80-C-072,2160,2160,MC-ONV,Current,.46212384,998.187,ONV,Assembly/Bill of Materials
