,Internal ID,Item Name,UPC Code,Bin Number,Bin OnHand,Bin Available,Bin Location,Item Status,Average Cost,Average Cost Per Bin,Subsidiary,Item Type,Inactive
444,13326,BH1203BB,647658389196,A10-A-002,82.0,82.0,MC-PW,Discontinued,5.31060976,435.47,PW,Assembly/Bill of Materials,No
10000,35182,PDFD07Z,647658023366,A10-A-004,102.0,102.0,MC-PW,WEB/AMAZON ,5.68758405,580.134,PW,Assembly/Bill of Materials,No
9014,25581,ML8425,817636018381,A10-A-006,108.0,108.0,MC-ONV,Current,2.49939464,269.935,ONV,Assembly/Bill of Materials,No
1480,37468,CARTONS : 51195,,A10-A-008,442.0,442.0,MC-PW,CUSTOM HALLMARK,0.48700000000000004,215.25400000000002,PW,Inventory Item,No
8791,36388,ML5434,817636019388,A10-A-010,204.0,204.0,MC-ONV,CURRENT,1.79109118,365.38300000000004,ONV,Inventory Item,No
10032,35803,PDFD09Z,647658025483,A10-A-012,114.0,114.0,MC-PW,WEB/AMAZON ,4.77123706,543.9209999999999,PW,Assembly/Bill of Materials,No
5035,37202,GLCD : 26042,,A10-A-014,192.0,192.0,MC-PW,PADDYWAX SPRING 2021,1.95484412,375.33,PW,Inventory Item,No
12150,21054,VLP1214,647658014005,A10-A-016,196.0,196.0,MC-PW,DISCONTINUED 1/2021,3.67907061,721.0980000000001,PW,Assembly/Bill of Materials,No
8536,34530,MA1103,647658026251,A10-A-018,12.0,12.0,MC-PW,PADDYWAX FALL 2020,15.37076923,184.449,PW,Assembly/Bill of Materials,No
1481,37468,CARTONS : 51195,,A10-A-020,300.0,300.0,MC-PW,CUSTOM HALLMARK,0.48700000000000004,146.1,PW,Inventory Item,No
5490,12230,JBP85-1024,812442020474,A10-A-022,24.0,24.0,MC-INK,CUSTOM ITEM HARRIS TEETER,3.20805556,76.993,INK,Inventory Item,No
9910,6701,NST701UB,647658003825,A10-A-022,36.0,36.0,MC-PW,INACTIVE,2.17,78.12,PW,Assembly/Bill of Materials,No
9617,29470,NFF1202,647658021737,A10-A-022,4.0,4.0,MC-PW,CUSTOM ITEM MEIJER,3.57875,14.315,PW,Assembly/Bill of Materials,No
10747,7466,RJ803Z,647658111568,A10-A-022,132.0,132.0,MC-PW,WEB/AMAZON ,4.27120915,563.8,PW,Assembly/Bill of Materials,No
10128,27762,PK1105Z,647658014111,A10-A-022,171.0,171.0,MC-PW,WEB/AMAZON ,5.37174484,918.568,PW,Assembly/Bill of Materials,No
9517,31306,NFD1508,647658024356,A10-A-024,76.0,76.0,MC-PW,CUSTOM ITEM MEIJER,4.08348597,310.345,PW,Assembly/Bill of Materials,No
4904,34386,GLCD : 25914,,A10-A-026,252.0,252.0,MC-PW,CUSTOM ITEM MEIJER,1.04400794,263.09,PW,Inventory Item,No
9158,27754,MS1008Z,647658118253,A10-A-026,6.0,6.0,MC-PW,WEB/AMAZON DISCONTINUED,5.88,35.28,PW,Assembly/Bill of Materials,No
9518,31306,NFD1508,647658024356,A10-A-030,116.0,116.0,MC-PW,CUSTOM ITEM MEIJER,4.08348597,473.684,PW,Assembly/Bill of Materials,No
1482,37468,CARTONS : 51195,,A10-A-032,450.0,450.0,MC-PW,CUSTOM HALLMARK,0.48700000000000004,219.15,PW,Inventory Item,No
9015,25581,ML8425,817636018381,A10-A-034,354.0,354.0,MC-ONV,Current,2.49939464,884.7860000000001,ONV,Assembly/Bill of Materials,No
12947,34777,WPCMD0804,647658027975,A10-A-036,223.0,223.0,MC-PW,FIREFLY FALL 2020,7.98683168,1781.0629999999999,PW,Assembly/Bill of Materials,No
5393,18596,JB86-1087,812442026568,A10-A-038,238.0,238.0,MC-INK,MEIJER/READERLINK,2.36793934,563.57,INK,Inventory Item,No
10986,29256,SN1004Z,647658111483,A10-A-040,47.0,47.0,MC-PW,WEB/AMAZON DISCONTINUED,5.18152738,243.532,PW,Assembly/Bill of Materials,No
8415,35124,LL0802Z,647658023533,A10-A-042,20.0,20.0,MC-PW,WEB/AMAZON ,4.63302961,92.661,PW,Assembly/Bill of Materials,No
485,12622,BPT203Z,647658006864,A10-A-044,53.0,53.0,MC-PW,INACTIVE,5.18113208,274.6,PW,Assembly/Bill of Materials,No
10580,3373,RBFD : 20029,,A10-A-046,539.0,539.0,MC-PW,DISCONTINUED 6/2020,1.82939739,986.045,PW,Inventory Item,No
10581,3373,RBFD : 20029,,A10-A-048,540.0,540.0,MC-PW,DISCONTINUED 6/2020,1.82939739,987.875,PW,Inventory Item,No
10582,3373,RBFD : 20029,,A10-A-050,540.0,540.0,MC-PW,DISCONTINUED 6/2020,1.82939739,987.875,PW,Inventory Item,No
11536,20250,TJB863-1001,812442027619,A10-A-052,760.0,760.0,MC-INK,Discontinued,3.03274662,2304.887,INK,Inventory Item,No
10583,3373,RBFD : 20029,,A10-A-054,540.0,540.0,MC-PW,DISCONTINUED 6/2020,1.82939739,987.875,PW,Inventory Item,No
940,16875,CARTONS : 50752,,A10-A-058,467.0,467.0,MC-PW,Discontinued PW 6-2018,0.54737058,255.622,PW,Inventory Item,No
2787,29292,EG07Z,647658010724,A10-A-060,108.0,108.0,MC-PW,WEB/AMAZON ,4.69498228,507.05800000000005,PW,Assembly/Bill of Materials,No
941,16875,CARTONS : 50752,,A10-A-070,750.0,750.0,MC-PW,Discontinued PW 6-2018,0.54737058,410.528,PW,Inventory Item,No
9430,31268,NFD1502,647658024295,A10-A-072,336.0,324.0,MC-PW,CUSTOM ITEM MEIJER,4.26927048,1383.244,PW,Assembly/Bill of Materials,No
8781,14354,ML5425,817636016462,A10-A-072,47.0,47.0,MC-ONV,CURRENT,1.91819491,90.155,ONV,Assembly/Bill of Materials,No
8997,16180,ML8125,817636017445,A10-A-074,12.0,12.0,MC-ONV,Current,2.72809587,32.736999999999995,ONV,Assembly/Bill of Materials,No
10775,7468,RJ805Z,647658386577,A10-A-074,12.0,12.0,MC-PW,WEB/AMAZON ,4.51875486,54.225,PW,Assembly/Bill of Materials,No
10859,4177,RJFDT07,647658386942,A10-A-074,93.0,93.0,MC-PW,Discontinued,3.62505376,337.13,PW,Assembly/Bill of Materials,No
4248,6094,GLCD : 25159,,A10-A-076,1152.0,1152.0,MC-PW,Current,0.84895833,978.0,PW,Inventory Item,No
13603,34735,WPKC05002,647658027210,A10-A-078,44.0,40.0,MC-PW,FIREFLY FALL 2020,2.88421174,115.368,PW,Assembly/Bill of Materials,No
12238,15499,VSW0804CP,647658114866,A10-A-080,240.0,240.0,MC-PW,CUSTOM ORDER ITEM CPWM,2.95911077,710.187,PW,Assembly/Bill of Materials,No
9403,31327,NFD1206,647658024493,A10-A-082,212.0,212.0,MC-PW,CUSTOM ITEM MEIJER,3.74109137,793.1110000000001,PW,Assembly/Bill of Materials,No
12052,14328,VAPG803FL,647658005409,A10-A-084,80.0,80.0,MC-PW,Custom Order Item,2.969125,237.53,PW,Assembly/Bill of Materials,No
10620,4532,RBFD : 20077,,A10-A-086,160.0,160.0,MC-PW,Current,0.71210052,113.936,PW,Inventory Item,No
5066,4162,GLFD : 25068,,A10-A-086,320.0,320.0,MC-PW,INACTIVE,0.54759964,175.232,PW,Inventory Item,No
5070,4163,GLFD : 25069,,A10-A-086,160.0,160.0,MC-PW,INACTIVE,0.56,89.6,PW,Inventory Item,No
4775,30836,GLCD : 25814,,A10-A-088,456.0,456.0,MC-PW,CURRENT,1.31771374,600.877,PW,Inventory Item,No
13287,32674,WPDS14032T,614253979848,A10-A-088,23.0,23.0,MC-PW,CURRENT,5.1724,118.965,PW,Assembly/Bill of Materials,No
12188,35764,VS1004Z,647658026305,A10-A-090,60.0,60.0,MC-PW,WEB/AMAZON ,5.42338028,325.403,PW,Assembly/Bill of Materials,No
12096,6287,VHO1004,647658001401,A10-A-090,15.0,15.0,MC-PW,Custom Order Item,2.87066667,43.06,PW,Assembly/Bill of Materials,No
4947,35105,GLCD : 25963,,A10-A-092,252.0,252.0,MC-PW,CURRENT,1.33856164,337.31800000000004,PW,Inventory Item,No
5233,33659,IM0501Z,647658021027,A10-A-094,168.0,156.0,MC-PW,WEB/AMAZON ,4.21194194,657.063,PW,Assembly/Bill of Materials,No
2801,7376,EG08Z,647658010731,A10-A-096,144.0,144.0,MC-PW,WEB/AMAZON ,4.34010245,624.975,PW,Assembly/Bill of Materials,No
1065,20253,CARTONS : 50850,,A10-A-098,495.0,495.0,MC-PW,Current,0.51686704,255.84900000000002,PW,Inventory Item,No
8578,35428,MISC : 51155,,A10-A-100,16197.0,16197.0,MC-PW,FIREFLY SPRING 2020,0.12899981,2089.41,PW,Inventory Item,No
4890,33914,GLCD : 25880,,A10-A-102,96.0,96.0,MC-PW,CURRENT,1.23,118.08,PW,Inventory Item,No
4891,33915,GLCD : 25881,,A10-A-102,321.0,321.0,MC-PW,CURRENT,1.0,321.0,PW,Inventory Item,No
5200,15003,HY1504Z,647658009193,A10-A-104,47.0,47.0,MC-PW,WEB/AMAZON ,5.78501922,271.89599999999996,PW,Assembly/Bill of Materials,No
10832,6929,RJ8SP2,647658004365,A10-A-106,11.0,11.0,MC-PW,Discontinued,96.95454545,1066.5,PW,Assembly/Bill of Materials,No
10860,14117,RJFDT13,647658009155,A10-A-108,100.0,100.0,MC-PW,INACTIVE,4.235,423.5,PW,Assembly/Bill of Materials,No
9643,35359,NFF1407,647658027388,A10-A-110,216.0,216.0,MC-PW,CUSTOM ITEM MEIJER,4.19601974,906.34,PW,Assembly/Bill of Materials,No
9519,31306,NFD1508,647658024356,A10-A-112,76.0,76.0,MC-PW,CUSTOM ITEM MEIJER,4.08348597,310.345,PW,Assembly/Bill of Materials,No
4958,35287,GLCD : 25966,,A10-A-114,3456.0,3456.0,MC-PW,FIREFLY SPRING 2020,0.53342187,1843.506,PW,Inventory Item,No
